 6787 10133     0:19 {Thread-43} com.tencent.gwgo
 6819 10133     0:00 {Binder:4141_5} com.tencent.gwgo
 6837 10133     0:00 {Thread-47} com.tencent.gwgo
 6839 10133     0:00 {Thread-47} com.tencent.gwgo
 6840 10133     0:00 {Thread-47} com.tencent.gwgo
 6841 10133     0:00 {Thread-47} com.tencent.gwgo
 6842 10133     0:00 {Thread-47} com.tencent.gwgo
 6843 10133     0:00 {Thread-47} com.tencent.gwgo
 6844 10133     0:00 {Thread-47} com.tencent.gwgo
 7011 10133     0:00 {UnityMain} com.tencent.gwgo
 7012 10133     0:00 {UnityMain} com.tencent.gwgo
 7013 10133     0:00 {NativeThread} com.tencent.gwgo
 7014 10133     0:00 {UnityMain} com.tencent.gwgo
 7015 10133     0:02 {NativeThread} com.tencent.gwgo
 7626 10133     0:00 {mna-bg} com.tencent.gwgo
 7630 10133     0:00 {mna-kartin} com.tencent.gwgo
 7645 10133     0:00 {UnityMain} com.tencent.gwgo
 8164 10133     0:00 {Thread-47} com.tencent.gwgo
 8167 10133     0:00 {Thread-47} com.tencent.gwgo
 9024 10133     0:10 {Thread-62} com.tencent.gwgo
 9175 10133     0:00 {Binder:4141_6} com.tencent.gwgo
 9219 10133     0:00 {Binder:4141_7} com.tencent.gwgo
 9284 10133     0:09 {Thread-73} com.tencent.gwgo
 9286 10133     0:00 {LogHandlerThrea} com.tencent.gwgo
 9287 10133     0:00 {GR-thread-pool-} com.tencent.gwgo
 9288 10133     0:00 {GR-thread-pool-} com.tencent.gwgo
 9289 10133     0:00 {GR-thread-pool-} com.tencent.gwgo
 9293 10133     0:00 {om.tencent.gwgo} com.tencent.gwgo
 9302 10133     0:00 {UnityMain} com.tencent.gwgo
 9304 10133     0:00 {UnityMain} com.tencent.gwgo
 9306 10133     0:00 {AudioRecord} com.tencent.gwgo
 9309 10133     0:00 {AudioTrack} com.tencent.gwgo
 9310 10133     0:00 {Thread-110} com.tencent.gwgo
 9312 10133     0:00 {ThreadUtil} com.tencent.gwgo
 9313 10133     0:02 {Thread-75} com.tencent.gwgo
 9329 10133     0:00 {UnityVibrator} com.tencent.gwgo
10129 10133     0:00 {UnityMain} com.tencent.gwgo
11591 10133     0:00 {Binder:4141_8} com.tencent.gwgo
11645 10133     0:00 {Thread-111} com.tencent.gwgo
14659 10133     0:00 {Binder:4141_9} com.tencent.gwgo
23483 10133     0:00 {OkHttp Connecti} com.tencent.gwgo
23644 10133     0:00 {Binder:4141_A} com.tencent.gwgo
23664 10133     0:00 {Binder:4141_B} com.tencent.gwgo
23871 10133     0:00 {Timer-4} com.tencent.gwgo
23912 10133     0:00 {AudioTrack} com.tencent.gwgo
23953 10133     0:00 {locationsdk_net} com.tencent.gwgo
23966 10133     0:00 {halley_100_Busi} com.tencent.gwgo
 1455 10133     0:00 {UnityMain} com.tencent.gwgo
 1545 10133     0:00 {gps_provider} com.tencent.gwgo
 1554 10133     0:00 {thread_ArMgrImp} com.tencent.gwgo
 1556 10133     0:00 {th_CC_Timer} com.tencent.gwgo
23978 2000      0:00 sh /data/local/tmp/monitor.sh test/com.tencent.gwgo SurfaceView - com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity#0 com.tencent.gwgo 5 1
24080 2000      0:00 sh /data/local/tmp/monitor.sh test/com.tencent.gwgo SurfaceView - com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity#0 com.tencent.gwgo 5 1
